customer_id,first_name,last_name,email,country,registration_date
1,John,Doe,john.doe@email.com,USA,2023-01-15
2,Jane,Smith,jane.smith@email.com,UK,2023-02-20
3,Mike,Johnson,mike.j@email.com,Canada,2023-01-10
4,Sarah,Williams,sarah.w@email.com,USA,2023-03-05
5,David,Brown,david.b@email.com,Germany,2023-02-28
6,Emma,Davis,emma.d@email.com,France,2023-04-12
7,Alex,Miller,alex.m@email.com,USA,2023-05-01
8,Lisa,Wilson,lisa.w@email.com,Australia,2023-03-20
9,Tom,Moore,tom.moore@email.com,UK,2023-06-15
10,Nina,Taylor,nina.t@email.com,Canada,2023-04-08

